resource_name,id,name,icon,description,of_type_unlock,value,value_diplay_type,orb_cost,increment_update,increment_max_value,current_increment,children
projectile_damage,projectile_damage,Projectile Damage,[empty],+{x} damage,No,0.1,Float,2,No,2,0,[empty]
projectile_damage2,projectile_damage,Projectile Damage 2,[empty],+{x} damage,No,0.1,Float,1,No,2,0,[empty]
projectile_speed,projectile_speed,Projectile Speed,[empty],+{x} speed,No,50,Int,2,No,2,0,[empty]
projectile_speed2,projectile_speed,Projectile Speed 2,[empty],+{x} speed,No,50,Int,1,No,2,0,[empty]
laser_unlock,laser_unlock,Laser,[empty],Unlock Laser,Yes,0,Int,5,No,1,0,[empty]
laser_damage,laser_damage,Laser Damage,[empty],+{x} damage,No,0.01,Float,2,No,2,0,[empty]
laser_damage2,laser_damage,Laser Damage 2,[empty],+{x} damage,No,0.01,Float,1,No,2,0,[empty]
laser_damage_interval,laser_damage_interval,Laser Frequency,[empty],-{x} seconds,No,0.05,Float,2,No,2,0,[empty]
laser_damage_interval2,laser_damage_interval,Laser Frequency 2,[empty],-{x} seconds,No,0.05,Float,1,No,2,0,[empty]
spread_fire_unlock,spread_fire_unlock,Spread Fire,[empty],Unlock Spread Fire,Yes,0,Int,5,No,1,0,[empty]
spread_fire_damage,spread_fire_damage,Spread Fire Damage,[empty],+{x} damage,No,0.1,Float,2,No,2,0,[empty]
spread_fire_damage2,spread_fire_damage,Spread Fire Damage 2,[empty],+{x} damage,No,0.1,Float,1,No,2,0,[empty]
spread_fire_speed,spread_fire_speed,Spread Fire Speed,[empty],+{x} speed,No,0.5,Float,2,No,2,0,[empty]
spread_fire_speed2,spread_fire_speed,Spread Fire Speed 2,[empty],+{x} speed,No,0.5,Float,1,No,2,0,[empty]
orbital_unlock,orbital_unlock,Orbital,[empty],Unlock Orbital,Yes,0,Int,8,No,1,0,[empty]
orbital_damage,orbital_damage,Orbital Damage,[empty],+{x} damage,No,0.1,Float,2,No,2,0,[empty]
orbital_damage2,orbital_damage,Orbital Damage 2,[empty],+{x} damage,No,0.1,Float,1,No,2,0,[empty]
orbital_speed,orbital_speed,Orbital Speed,[empty],+{x} speed,No,1,Int,2,No,2,0,[empty]
orbital_speed2,orbital_speed,Orbital Speed 2,[empty],+{x} speed,No,1,Int,1,No,2,0,[empty]
orbital_radius,orbital_radius,Orbital Radius,[empty],+{x} radius,No,10,Int,2,No,2,0,[empty]
orbital_radius2,orbital_radius,Orbital Radius 2,[empty],+{x} radius,No,10,Int,1,No,2,0,[empty]
multi_hit_unlock,multi_hit_unlock,Multi Hit,[empty],Unlock Multi Hit,Yes,0,Int,10,No,1,0,[empty]
multi_target_damage,multi_target_damage,Multi Target Damage,[empty],+{x} damage,No,0.1,Float,2,No,2,0,[empty]
multi_target_damage2,multi_target_damage,Multi Target Damage 2,[empty],+{x} damage,No,0.1,Float,1,No,2,0,[empty]
multi_target_speed,multi_target_speed,Multi Target Speed,[empty],+{x} speed,No,50,Int,2,No,2,0,[empty]
multi_target_speed2,multi_target_speed,Multi Target Speed 2,[empty],+{x} speed,No,50,Int,1,No,2,0,[empty]
multi_target_count,multi_target_count,Target Count,[empty],+{x} targets,No,1,Int,2,No,2,0,[empty]
multi_target_count2,multi_target_count,Target Count 2,[empty],+{x} targets,No,1,Int,1,No,2,0,[empty]
